intent,greeting_normalized,text,frequency,pure_greeting,date
saludo_con_solicitud,cordial saludo,Cordial Saludo Espero este mensaje le encuentre bien. Nos dirigimos a usted para dar seguimiento al proceso relacionado. Nuestro objetivo principal es asegurarnos de que cuente con todo el apoyo necesario para completar este trámite de manera eficiente y satisfactoria,518,False,2026-01-07T16:38:08+03:00
saludo_con_solicitud,hola,"hola yo de nuevo, alguna actualizacion de mis asuntos",330,False,2025-06-12T02:19:38+03:00
saludo_con_solicitud,cordial saludo,Cordial Saludo Espero este mensaje le encuentre bien. Nos dirigimos a usted para dar seguimiento al proceso relacionado. Nuestro objetivo principal es asegurarnos de que cuente con todo el apoyo necesario para completar este trámite de manera eficiente y satisfactoria. === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría,81,False,2026-01-23T15:12:35+03:00
saludo_con_solicitud,hola,"Hola soy Estefania, cómo puedo ayudarte con la compra",77,False,2026-02-20T22:43:06+03:00
saludo_con_solicitud,hola,"Hola estamos atentos para saber si continúa interesado de la oferta enviada o no. E igual si tiene alguna otra necesidad, estamos para servirle Ingresa a este enlace y Optimiza tu eficiencia en nuestro buscador y ¡Potencia tu industria hoy",21,False,2025-09-14T01:21:56+03:00
saludo_con_solicitud,hola,"Hola estamos atentos para saber si continúa interesado de la oferta enviada o no. E igual si tiene alguna otra necesidad, estamos para servirle Ingresa a este enlace y Optimiza tu eficiencia en nuestro buscador y ¡Potencia tu industria hoy! https://viaindustrial.bitrix24.es/~9m4hS",18,False,2025-09-13T23:55:36+03:00
saludo_con_solicitud,hola,Hola buen día. Cuéntame cómo te fue con la cotización,17,False,2025-12-19T22:31:06+03:00
saludo_con_solicitud,hola,"hola buenos dias, soy Estefania Gonzalez. cuentame que dudas tienen para realizar la compra",16,False,2025-11-19T15:55:32+03:00
saludo_con_solicitud,cordial saludo,"Cordial Saludo Espero este mensaje le encuentre bien. Nos dirigimos a usted para dar seguimiento al proceso relacionado. Nuestro objetivo principal es asegurarnos de que cuente con todo el apoyo necesario para completar este trámite de manera eficiente y satisfactoria. === SYSTEM WZ === No puedes iniciar una correspondencia de 24 horas con este cliente usando la plantilla """"Marketing"""": eso es lo que decidió Meta. Envíe una plantilla de una categoría diferente",14,False,2025-11-25T21:18:24+03:00
saludo_con_solicitud,buen dia,"buen dia, señor Alex, para poder cotizarle la valvula que esta soliictando, necesito saber, la valvula para que uso es?? agua?? gas?? vapor??? de que conexion 1/2"""" ?? 1""""? 2""""?? y a que voltage 110 v?? 220v?? 24v",12,False,2026-01-23T15:59:22+03:00
